approach,attack_type,trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_std,final_nsw_ratio_ci95,final_nsw_legit_mean,final_nsw_legit_std,final_nsw_legit_ci95,final_min_util_mean,final_min_util_std,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_std,final_fairness_gap_ci95,final_detection_rate_mean,final_detection_rate_std,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_std,final_fp_rate_ci95,final_fn_rate_mean,final_fn_rate_std,final_fn_rate_ci95,final_algorithm1_detection_rate_mean,final_algorithm1_detection_rate_std,final_algorithm1_detection_rate_ci95,final_algorithm1_fp_rate_mean,final_algorithm1_fp_rate_std,final_algorithm1_fp_rate_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_std,avg_malicious_resource_share_ci95,final_malicious_resource_share_mean,final_malicious_resource_share_std,final_malicious_resource_share_ci95,avg_malicious_trusted_count_mean,avg_malicious_trusted_count_std,avg_malicious_trusted_count_ci95,final_malicious_trusted_count_mean,final_malicious_trusted_count_std,final_malicious_trusted_count_ci95,avg_alpha_t_mean,avg_alpha_t_std,avg_alpha_t_ci95,avg_expert_defensive_weight_mean,avg_expert_defensive_weight_std,avg_expert_defensive_weight_ci95,avg_expert_aggressive_weight_mean,avg_expert_aggressive_weight_std,avg_expert_aggressive_weight_ci95,avg_expert_gm_weight_mean,avg_expert_gm_weight_std,avg_expert_gm_weight_ci95
pure_equal_alpha1,reputation_poison,oracle,25,0.365330730637228,0.00459669061440743,0.0018019027208477124,2.860295289903718,0.02052867156173303,0.008047239252199348,2.6841569308002846,0.049526268813987064,0.019414297375082927,0.3799251515243499,0.07370516049076085,0.02889242291237825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
pure_equal_alpha1,reputation_poison,sparse_online,25,0.36457030146890423,0.004566394563953981,0.0017900266690699606,2.8543400915540262,0.019983400514442185,0.007833493001661336,2.6774993281021553,0.05019372372047237,0.01967593969842517,0.38030709096608123,0.0747496277850094,0.029301854091723683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001957217782217782,0.00027630596440030085,0.00010831193804491793,0.0,0.0,0.0,0.023700000000000002,0.004007492981902775,0.0015709372489058876,0.0,0.0,0.0,,,,,,,,,,,,
pure_equal_alpha1,trust_mimicry,algorithm1,25,0.26130647745486363,0.003290409258046985,0.0012898404291544182,2.0458546271754536,0.014682243446044201,0.005755439430849327,1.9197472596235534,0.03631875050973784,0.014236950199817234,0.273577728369801,0.05265259236876294,0.020639816208555074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2846657953157953,0.000511219624127511,0.0002003980926579843,0.28571428571428575,0.0,0.0,3.9825,0.007615773105863927,0.0029853830574986594,4.0,0.0,0.0,,,,,,,,,,,,
pure_equal_alpha1,trust_mimicry,no_trust,25,0.26095052188373413,0.0032833504388624355,0.0012870733720340747,2.043068064216942,0.014663336829809243,0.005748028037285223,1.9172549505716319,0.03537590629570506,0.013867355267916385,0.27137510823167893,0.05264654320768671,0.02063744493741319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.28571428571428575,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
pure_equal_alpha1,trust_mimicry,oracle,25,0.365330730637228,0.00459669061440743,0.0018019027208477124,2.860295289903718,0.02052867156173303,0.008047239252199348,2.6841569308002846,0.049526268813987064,0.019414297375082927,0.3799251515243499,0.07370516049076085,0.02889242291237825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
pure_equal_alpha1,trust_mimicry,sparse_online,25,0.3648217254364031,0.004611486293201337,0.0018077026269349241,2.8563058204872642,0.02019663045800621,0.007917079139538433,2.67940327570256,0.04984576091482344,0.01953953827861079,0.38130036255713873,0.07410031017707766,0.029047321589414442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012414663114663116,0.0004116992698860091,0.00016138611379531558,0.0,0.0,0.0,0.0151,0.0055892754449928484,0.0021909959744371966,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,burst,algorithm1,25,0.8817948957288135,0.027552935674476246,0.01080075078439469,6.9049789428057196,0.23866282753347765,0.09355582839312324,6.076334491779408,0.2651838331429293,0.1039520625920283,1.7352889309104738,0.3985092079416979,0.15621560951314556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1090114139893326,0.03132440178949601,0.012279165501482437,0.0,0.0,0.0,0.8427,0.28880349720874227,0.11321097090582696,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,burst,no_trust,25,0.6462617634960799,0.008803033151849203,0.003450788995524888,5.060366365261524,0.08828442050533696,0.034607492838092085,4.324088375331258,0.23675778472755496,0.09280905161320155,1.5357207531366972,0.3499672505986572,0.13718716223467362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3909387292136838,0.006721027468382371,0.0026346427676058894,0.28,0.448998886412873,0.17600756347384622,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,burst,oracle,25,0.9734621821119671,0.0038252482718393074,0.0014994973225610085,7.623044793798317,0.13160384850820764,0.051588708615217395,6.730544109729707,0.24985914442167706,0.0979447846132974,1.8505115461911672,0.4106795613519248,0.16098638804995452,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
pure_greedy_alpha0,burst,sparse_online,25,0.972243060919782,0.003628855218711405,0.0014225112457348708,7.613481092954324,0.13014620168116944,0.051017311059018425,6.721679645172119,0.25154912257370304,0.09860725604889159,1.8488015698454054,0.410488911735083,0.16091165340015254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0009803536361314446,0.0009260050799657612,0.0003629939913465783,0.0,0.0,0.0,0.006000000000000001,0.005744562646538029,0.0022518685574429076,0.0,0.0,0.0,,,,,,,,,,,,
