approach,attack_type,trust_mode,trial,seed,n_rounds,final_nsw_ratio,final_nsw_legit,offline_nsw,final_min_util,final_fairness_gap,final_detection_rate,final_fp_rate,final_fn_rate,final_algorithm1_detection_rate,final_algorithm1_fp_rate,avg_malicious_resource_share,final_malicious_resource_share,avg_malicious_trusted_count,final_malicious_trusted_count,avg_alpha_t,avg_expert_defensive_weight,avg_expert_aggressive_weight,avg_expert_gm_weight
adaptive_alpha,trust_mimicry,algorithm1,22,328,400,0.6012660001740083,4.824225943196893,8.02344709629473,4.241391919712765,1.055196264766482,0.0,0.0,1.0,0.0,0.0,0.29518286934043036,0.7792640192173043,3.9825,4.0,0.3490999272048685,,,
adaptive_alpha,trust_mimicry,algorithm1,23,341,400,0.6137430238640087,4.791931605157431,7.807716615642074,4.254102115764744,0.920388958265562,0.0,0.0,1.0,0.0,0.0,0.2947865984262388,0.08634037928195232,3.9925,4.0,0.31736937136020416,,,
adaptive_alpha,trust_mimicry,algorithm1,24,354,400,0.6107327013999411,4.7704535668755,7.811033461841021,3.734788094862485,1.7383722116411713,0.0,0.0,1.0,0.0,0.0,0.28533248698849883,0.09279912436947937,3.995,4.0,0.32911502139253884,,,
adaptive_alpha,trust_mimicry,no_trust,0,42,400,0.6067853866794068,4.847281617444676,7.988461363532675,4.3067403417104435,1.1383501009545451,0.0,0.0,1.0,0.0,0.0,0.2995541305882512,0.08631770360889114,4.0,4.0,0.3190470650700762,,,
adaptive_alpha,trust_mimicry,no_trust,1,55,400,0.6086397028672188,4.876125175961454,8.011513466819027,4.373908665720055,0.8993846441565365,0.0,0.0,1.0,0.0,0.0,0.2953454598061894,0.09835865639516372,4.0,4.0,0.3276325981978816,,,
adaptive_alpha,trust_mimicry,no_trust,2,68,400,0.605653933034125,4.703197815567633,7.76548711903211,3.9664504223833594,1.563595967086088,0.0,0.0,1.0,0.0,0.0,0.2933656373185679,0.08931220060937461,4.0,4.0,0.3285154145698072,,,
adaptive_alpha,trust_mimicry,no_trust,3,81,400,0.6068514030956446,4.695520087608988,7.737512121841362,4.194805718741096,1.045823253465226,0.0,0.0,1.0,0.0,0.0,0.28969647816851757,0.7429579006334155,4.0,4.0,0.34335361496034134,,,
adaptive_alpha,trust_mimicry,no_trust,4,94,400,0.6061749038909188,4.765299501272786,7.8612616106098345,4.229136507562773,1.517319682280342,0.0,0.0,1.0,0.0,0.0,0.2907854502044215,0.7803218741681119,4.0,4.0,0.33362302465570537,,,
adaptive_alpha,trust_mimicry,no_trust,5,107,400,0.6043273756026025,4.7067168409819935,7.788356164220942,3.911072317514325,1.4041866184552871,0.0,0.0,1.0,0.0,0.0,0.29893868371321647,0.7886147570677554,4.0,4.0,0.32534669888413575,,,
adaptive_alpha,trust_mimicry,no_trust,6,120,400,0.6163078866396886,4.784310882131261,7.762858444367607,4.495427971742794,0.6300914395959625,0.0,0.0,1.0,0.0,0.0,0.2874234213670956,0.08866653314000461,4.0,4.0,0.3256109570584886,,,
adaptive_alpha,trust_mimicry,no_trust,7,133,400,0.6005238346356506,4.732573421785719,7.880742026928976,3.968604100836345,1.3717716885883307,0.0,0.0,1.0,0.0,0.0,0.3009857123295021,0.08253314594282452,4.0,4.0,0.3239672806489237,,,
adaptive_alpha,trust_mimicry,no_trust,8,146,400,0.6120765995544497,4.804774298395846,7.849955874629737,4.28327205123436,1.178358483106023,0.0,0.0,1.0,0.0,0.0,0.2917215496925592,0.37153498709959365,4.0,4.0,0.3302836802119911,,,
adaptive_alpha,trust_mimicry,no_trust,9,159,400,0.6057794089176824,4.778373507059225,7.887976112619147,3.8995694323545136,2.195723410135116,0.0,0.0,1.0,0.0,0.0,0.2966495683744758,0.08746189283483305,4.0,4.0,0.330518967515468,,,
