approach,trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
pace_trusted,no_trust,125,0.48966706912917823,0.0029239087997226594,0.29959478655642147,0.00424600243326825,0.0,0.0,0.0,0.0,3.1415881117765436,0.04159748625728625,1.4572398817813192,0.05323463091055905
pace_trusted,oracle,125,0.6659764832261872,0.002273457882424009,0.0,0.0,1.0,0.0,0.0,0.0,4.398585806670853,0.05481672851995531,1.8330319813697151,0.07826734638075916
pace_trusted,sparse_online,125,0.664318316025196,0.0021843601180470667,0.001653213439554052,0.0002345786501623404,1.0,0.0,0.0,0.0,4.361310704136335,0.054693191219529216,1.861193848104515,0.07581110002706201
pure_equal_alpha1,algorithm1,125,0.309604083042784,0.007562376080586549,0.15248873193473192,0.02053176698322452,0.544,0.08110971642904444,0.0,0.0,2.273585807727195,0.055316513034228305,0.32270490950950187,0.013680749494496738
pure_equal_alpha1,no_trust,125,0.2609505218837342,0.0005755967103796136,0.2857142857142856,1.9463067761458618e-17,0.0,0.0,0.0,0.0,1.917254950571632,0.006201669809440167,0.27137510823167893,0.009229345952392956
pure_equal_alpha1,oracle,125,0.3653307306372279,0.0008058353945314625,0.0,0.0,1.0,0.0,0.0,0.0,2.6841569308002846,0.00868233773321623,0.3799251515243499,0.012921084333350043
pure_equal_alpha1,sparse_online,125,0.36487108792403367,0.0008114107724864566,0.0010997276057276054,0.00012071444243718662,1.0,0.0,0.0,0.0,2.6802853955114654,0.00871865824290845,0.38059931944398495,0.012974137288205189
pure_greedy_alpha0,algorithm1,125,0.8383600820146123,0.014355049920584374,0.1792832565097155,0.02016379207279308,0.544,0.08110971642904444,0.0,0.0,5.724288084849355,0.1154589917188822,1.7334892970302986,0.07074768027064898
pure_greedy_alpha0,no_trust,125,0.6447868271594946,0.0194492781747601,0.4078053767923432,0.0196818297571439,0.0,0.0,0.0,0.0,4.31360757187067,0.14207083980313795,1.5595702352167706,0.06668439478186015
pure_greedy_alpha0,oracle,125,0.9727029090234555,0.0007530549731944897,0.0,0.0,1.0,0.0,0.0,0.0,6.722063310569886,0.04441095885006219,1.8433164857166706,0.0708804202892711
pure_greedy_alpha0,sparse_online,125,0.9709633746501931,0.0007777859618619911,0.0016572997029043288,0.0001743632319215158,1.0,0.0,0.0,0.0,6.709468996389335,0.04454059148014303,1.8411280959236356,0.07082408464451496
robust_aggregation,algorithm1,125,0.5587339055716041,0.011167687441931851,0.16465377425259717,0.020146210932309342,0.544,0.08110971642904444,0.0,0.0,3.9781148350183035,0.07907337402915171,0.8505125864803599,0.038858223344395225
robust_aggregation,no_trust,125,0.4578395271057973,0.005593930418644922,0.33493409587149664,0.007691318449371298,0.0,0.0,0.0,0.0,3.2346223832265104,0.05117351071404538,0.7338387408815207,0.0283274015829528
robust_aggregation,oracle,125,0.653794293177581,0.0010090795145306461,0.0,0.0,1.0,0.0,0.0,0.0,4.654588828364029,0.02705976377484782,0.9912438295432563,0.037440985546206694
robust_aggregation,sparse_online,125,0.6526711488714655,0.0010376339846523992,0.0014350359565405784,0.00021165950098243382,1.0,0.0,0.0,0.0,4.644647143567872,0.02706783905793286,0.9921440658504812,0.03751552866584546
sample_resolving,algorithm1,125,0.4791107853201691,0.010622737493715926,0.16745762134499476,0.020093540189318113,0.544,0.08110971642904444,0.0,0.0,3.4815249191249737,0.0785731354975109,0.592486575623034,0.021311559911936232
sample_resolving,no_trust,125,0.38784976801387205,0.004478931193029545,0.3381331511000073,0.008009739170591872,0.0,0.0,0.0,0.0,2.8140334608510713,0.03578673273986037,0.4908814448356221,0.015679538555023693
sample_resolving,oracle,125,0.5681289158802978,0.00045585028298254603,0.0,0.0,1.0,0.0,0.0,0.0,4.138048534323303,0.02064180095913384,0.6800689384879999,0.01924305920352041
sample_resolving,sparse_online,125,0.5662231169376635,0.0004960158745972356,0.002708324113783608,0.0003022190990724223,1.0,0.0,0.0,0.0,4.123685209430014,0.020886337434277494,0.6789379343400014,0.019194304911238726
